1e-5	4.722097e4
1.0625e-5	4.581107e4
1.125e-5	4.452036e4
1.1875e-5	4.333294e4
1.25e-5	4.223572e4
1.375e-5	4.027018e4
1.5e-5	3.855576e4
1.625e-5	3.704318e4
1.75e-5	3.56957e4
1.875e-5	3.448532e4
2e-5	3.339027e4
2.1875e-5	3.19272e4
2.375e-5	3.064101e4
2.5625e-5	2.94987e4
2.75e-5	2.847531e4
2.9375e-5	2.755154e4
3.125e-5	2.671221e4
3.3125e-5	2.594519e4
3.5e-5	2.524067e4
3.875e-5	2.398827e4
4.25e-5	2.290553e4
4.625e-5	2.19573e4
5e-5	2.111786e4
5.3125e-5	2.048733e4
5.625e-5	1.99101e4
5.9375e-5	1.937907e4
6.25e-5	1.888838e4
6.875e-5	1.800937e4
7.5e-5	1.724265e4
8.125e-5	1.656621e4
8.75e-5	1.59636e4
9.375e-5	1.54223e4
1e-4	1.493258e4
1.0625e-4	1.448673e4
1.125e-4	1.407857e4
1.1875e-4	1.370307e4
1.25e-4	1.33561e4
1.375e-4	1.273454e4
1.5e-4	1.21924e4
1.625e-4	1.171408e4
1.75e-4	1.128796e4
1.875e-4	1.090521e4
2e-4	1.055892e4
2.1875e-4	1.009626e4
2.375e-4	9.689533e3
2.5625e-4	9.328304e3
2.75e-4	9.004679e3
2.9375e-4	8.712557e3
3.125e-4	8.447137e3
3.3125e-4	8.204585e3
3.5e-4	7.981794e3
3.875e-4	7.585752e3
4.25e-4	7.243358e3
4.625e-4	6.943501e3
5e-4	6.678045e3
5.3125e-4	6.478655e3
5.625e-4	6.29612e3
5.9375e-4	6.128193e3
6.25e-4	5.973023e3
6.875e-4	5.695053e3
7.5e-4	5.452598e3
8.125e-4	5.238686e3
8.75e-4	5.048123e3
9.375e-4	4.876949e3
0.001	4.722085e3
0.001063	4.581095e3
0.001125	4.452023e3
0.001187	4.333281e3
0.00125	4.223559e3
0.001375	4.027004e3
0.0015	3.855562e3
0.001625	3.704303e3
0.00175	3.569555e3
0.001875	3.448516e3
0.002	3.339011e3
0.002188	3.192704e3
0.002375	3.064084e3
0.002563	2.949853e3
0.00275	2.847513e3
0.002938	2.755136e3
0.003125	2.671202e3
0.003312	2.5945e3
0.0035	2.524047e3
0.003875	2.398807e3
0.00425	2.290532e3
0.004625	2.195708e3
0.005	2.111763e3
0.005313	2.04871e3
0.005625	1.990988e3
0.005938	1.937884e3
0.00625	1.888815e3
0.006875	1.800913e3
0.0075	1.724241e3
0.008125	1.656596e3
0.00875	1.596335e3
0.009375	1.542205e3
0.01	1.493233e3
0.010625	1.448648e3
0.01125	1.407832e3
0.011875	1.370283e3
0.0125	1.335586e3
0.01375	1.27343e3
0.015	1.219216e3
0.01625	1.171384e3
0.0175	1.128773e3
0.01875	1.090497e3
0.02	1.055868e3
0.021325	1.022539e3
0.02265	992.178
0.023975	964.3701
0.0253	938.7761
0.026844	911.3804
0.028387	886.2507
0.031475	841.6563
0.034563	803.1789
0.03765	769.5369
0.040738	739.7956
0.043825	713.2553
0.046913	689.3802
0.05	667.7523
0.053125	647.8109
0.05625	629.5554
0.059375	612.7607
0.0625	597.2418
0.06875	569.4414
0.075	545.1926
0.08125	523.7988
0.0875	504.7407
0.09375	487.6226
0.1	472.1366
0.10625	458.039
0.1125	445.1339
0.11875	433.2621
0.125	422.2924
0.1375	402.6412
0.15	385.4994
0.1625	370.3744
0.175	356.8995
0.1875	344.7952
0.2	333.8437
0.21875	319.2104
0.2375	306.3444
0.25625	294.9174
0.275	284.6815
0.29375	275.4454
0.3125	267.0575
0.33125	259.3955
0.35	252.3592
0.3875	239.8498
0.425	229.0314
0.5	211.1764
0.625	188.8769
0.75	172.3958
0.875	159.6446
1	149.3587
1.25	133.5493
1.5	121.8887
1.75	112.8779
2	105.5911
2.375	96.90512
2.75	90.07859
3.125	84.47901
3.5	79.81002
4.25	72.40852
5	66.75867
5.55	63.36881
6.1	60.43801
6.65	57.88002
7.2	55.64011
8.3	51.83164
9.4	48.68537
10	47.19891
11.25	44.50389
12.5	42.21317
15	38.52574
17.5	35.66894
20	33.36412
23.75	30.61325
27.5	28.45022
31.25	26.68377
35	25.21014
42.5	22.87286
50	21.08619
62.5	18.8575
75	17.21145
87.5	15.93403
100	14.90461
125	13.32822
150	12.16505
175	11.2613
200	10.53299
225	9.92908
250	9.418322
275	8.979179
300	8.596205
325	8.258361
350	7.95777
400	7.442328
450	7.015103
500	6.654119
550	6.343626
600	6.073163
650	5.834763
750	5.430375
800	5.257273
850	5.100027
950	4.823972
1000	4.701481
1.125e3	4.431943
1.25e3	4.203822
1.5e3	3.83648
1.75e3	3.551806
2e3	3.32236
2.25e3	3.132239
2.5e3	2.971413
2.75e3	2.83306
3e3	2.712389
3.25e3	2.605928
3.5e3	2.51119
4e3	2.363544
4.5e3	2.21629
5e3	2.111003
5.5e3	2.006059
6e3	1.925908
6.5e3	1.845993
7.5e3	1.719989
8e3	1.668886
8.5e3	1.617913
9.5e3	1.531985
1e4	1.504241
1.125e4	1.435154
1.25e4	1.366068
1.5e4	1.228004
1.75e4	1.149942
2e4	1.072037
2.2e4	1.028717
2.4e4	0.985481
2.5e4	0.969922
2.75e4	0.931113
3e4	0.892331
3.25e4	0.864026
3.5e4	0.83577
4e4	0.796169
4.5e4	0.756614
5e4	0.731599
5.5e4	0.706621
6e4	0.69029
6.5e4	0.673986
7e4	0.664285
7.5e4	0.654609
8e4	0.651005
8.5e4	0.647423
9e4	0.648553
9.5e4	0.6497
1e5	0.654005
1.1e5	0.672939
1.2e5	0.70148
1.3e5	0.74364
1.4e5	0.806937
1.5e5	0.889421
1.6e5	1.001046
1.7e5	1.154823
1.8e5	1.358669
1.9e5	1.626956
2e5	1.970531
2.05e5	2.174603
2.1e5	2.378805
2.15e5	2.589637
2.16e5	2.631808
2.17e5	2.673979
2.18e5	2.71615
2.19e5	2.758321
2.2e5	2.800333
2.21e5	2.833402
2.22e5	2.866311
2.23e5	2.899221
2.24e5	2.93213
2.25e5	2.96504
2.26e5	2.99795
2.27e5	3.030859
2.28e5	3.063769
2.29e5	3.096678
2.3e5	3.129326
2.31e5	3.147597
2.32e5	3.165605
2.33e5	3.183614
2.34e5	3.201622
2.35e5	3.219484
2.36e5	3.229336
2.37e5	3.236767
2.38e5	3.241707
2.39e5	3.24399
2.4e5	3.243456
2.41e5	3.240016
2.42e5	3.233842
2.43e5	3.225179
2.44e5	3.214273
2.45e5	3.201265
2.46e5	3.1813
2.47e5	3.161204
2.48e5	3.141109
2.49e5	3.121013
2.5e5	3.100697
2.51e5	3.068853
2.52e5	3.03679
2.53e5	3.004726
2.54e5	2.972663
2.55e5	2.940599
2.56e5	2.908535
2.57e5	2.876472
2.58e5	2.844408
2.59e5	2.812345
2.6e5	2.780167
2.61e5	2.742159
2.62e5	2.704036
2.63e5	2.665914
2.64e5	2.627791
2.65e5	2.589669
2.66e5	2.551546
2.67e5	2.513424
2.68e5	2.475301
2.69e5	2.437179
2.7e5	2.399091
2.75e5	2.217826
2.8e5	2.036758
2.85e5	1.897305
2.9e5	1.758015
2.95e5	1.618725
3e5	1.479595
3.05e5	1.379942
3.1e5	1.280549
3.2e5	1.130374
3.25e5	1.055411
3.35e5	0.941124
3.4e5	0.897772
3.5e5	0.81123
3.6e5	0.743798
3.75e5	0.662871
3.8e5	0.64091
3.85e5	0.618989
4e5	0.564827
4.1e5	0.535363
4.2e5	0.510439
4.25e5	0.497991
4.35e5	0.476523
4.4e5	0.467363
4.5e5	0.449065
4.6e5	0.433747
4.75e5	0.413024
4.8e5	0.406546
4.85e5	0.400074
5e5	0.383156
5.2e5	0.365902
5.4e5	0.350467
5.5e5	0.344068
5.7e5	0.33128
6e5	0.315747
6.5e5	0.295612
7e5	0.28079
7.5e5	0.269305
8e5	0.260025
8.5e5	0.252508
9e5	0.246479
9.4e5	0.242806
9.5e5	0.242103
9.6e5	0.2414
9.8e5	0.240012
1e6	0.238802
1.05e6	0.236651
1.1e6	0.234502
1.15e6	0.233251
1.2e6	0.232001
1.25e6	0.231317
1.3e6	0.231002
1.35e6	0.230951
1.4e6	0.2309
1.45e6	0.230875
1.5e6	0.23085
1.55e6	0.23069
1.6e6	0.23053
1.65e6	0.23055
1.7e6	0.23057
1.7515e6	0.230704
1.751535e6	0.230704
1.8e6	0.23083
1.9e6	0.23038
2e6	0.22848
2.0435e6	0.227097
2.05e6	0.22689
2.1e6	0.2253
2.15e6	0.22314
2.2e6	0.22098
2.25e6	0.21832
2.3e6	0.21566
2.3354e6	0.213483
2.35e6	0.212585
2.4e6	0.20951
2.45e6	0.206155
2.5e6	0.2028
2.55e6	0.199035
2.5514e6	0.19893
2.551403e6	0.198929
2.6e6	0.19527
2.6273e6	0.192917
2.7e6	0.18665
2.8e6	0.17789
2.9e6	0.16943
2.9192e6	0.167898
2.919225e6	0.167896
3e6	0.16145
3.1e6	0.15402
3.1846e6	0.148301
3.184641e6	0.148298
3.2e6	0.14726
3.2111e6	0.146593
3.3e6	0.14125
3.4e6	0.13606
3.5e6	0.13175
3.5031e6	0.131645
3.6e6	0.12838
3.7e6	0.12602
3.795e6	0.124757
3.8e6	0.12469
3.9e6	0.12385
4e6	0.12238
4.05e6	0.121531
4.0869e6	0.120904
4.086915e6	0.120904
4.1e6	0.120682
4.15e6	0.11975
4.159e6	0.119582
4.159311e6	0.119577
4.17e6	0.119377
4.18e6	0.119191
4.2e6	0.118818
4.25e6	0.117787
4.3e6	0.116755
4.318e6	0.116344
4.318117e6	0.116342
4.35e6	0.115614
4.3788e6	0.114957
4.4e6	0.114474
4.45e6	0.113165
4.5e6	0.111856
4.55e6	0.110398
4.6e6	0.108939
4.65e6	0.107223
4.6708e6	0.106509
4.7e6	0.105506
4.75e6	0.103799
4.8e6	0.102091
4.83e6	0.101248
4.85e6	0.100686
4.9e6	0.099282
5e6	0.096994
5.05e6	0.09609
5.1e6	0.095347
5.15e6	0.09474
5.2e6	0.094336
5.2546e6	0.094209
5.254604e6	0.094209
5.3e6	0.094104
5.4e6	0.094315
5.5e6	0.094846
5.6e6	0.095464
5.7e6	0.096113
5.8e6	0.096761
5.8384e6	0.096901
5.838449e6	0.096901
5.9e6	0.097125
6e6	0.09749
6.2e6	0.096777
6.4e6	0.094481
6.4223e6	0.094092
6.5e6	0.092737
6.6e6	0.090196
6.8e6	0.084409
7e6	0.076423
7.0061e6	0.076216
7.006138e6	0.076215
7.2e6	0.06964
7.4e6	0.063996
7.5e6	0.061487
7.59e6	0.059465
7.6e6	0.059241
7.8e6	0.055444
8e6	0.052204
8.1738e6	0.049774
8.173828e6	0.049774
8.2e6	0.049408
8.4e6	0.047137
8.5e6	0.046207
8.6e6	0.045407
8.7577e6	0.044455
8.8e6	0.0442
9e6	0.043
9.2e6	0.0418
9.3415e6	0.040951
9.341518e6	0.040951
9.4e6	0.0406
9.5e6	0.04
9.6e6	0.0396
9.8e6	0.0388
9.9253e6	0.038299
