0 0.00116225
0.555556 -0.00241311
1.11111 -0.00125799
1.66667 0.00211674
2.22222 0.000138275
2.77778 -0.00156578
3.33333 -0.00044293
3.88889 0.00251876
4.44444 0.00163568
5 -0.00258208
5.55556 -0.000290727
6.11111 0.00155371
6.66667 0.00135403
7.22222 -0.00189968
7.77778 -0.00266071
8.33333 0.00275937
8.88889 0.00124427
9.44444 -0.00239219
10 -0.000218869
10.5556 0.00156811
11.1111 0.00085865
11.6667 -0.000703228
12.2222 -0.000932452
12.7778 0.00118214
13.3333 0.00233283
13.8889 -0.00126627
14.4444 -0.00204047
15 0.000410175
15.5556 0.00142621
16.1111 -0.00244943
16.6667 -1.91904e-05
17.2222 6.08961e-05
17.7778 0.00192368
18.3333 -0.00136239
18.8889 -0.00169779
19.4444 0.00157079
20 0.00155273
20.5556 -0.00193831
21.1111 -0.00142076
21.6667 0.00163438
22.2222 0.00202306
22.7778 -0.00314479
23.3333 -0.00146738
23.8889 0.00159302
24.4444 0.00176161
25 -0.00291623
25.5556 -0.00285855
26.1111 0.00215596
26.6667 0.000628174
27.2222 -0.00140203
27.7778 -0.00115246
28.3333 0.00112064
28.8889 -0.000401362
29.4444 -0.00612149
30 -0.0132002
30.5556 -0.036317
31.1111 -0.0822348
31.6667 -0.166442
32.2222 -0.255051
32.7778 -0.363247
33.3333 -0.478963
33.8889 -0.594644
34.4444 -0.696906
35 -0.785828
35.5556 -0.85795
36.1111 -0.915085
36.6667 -0.94529
37.2222 -0.957167
37.7778 -0.951749
38.3333 -0.939208
38.8889 -0.912712
39.4444 -0.878048
40 -0.837491
40.5556 -0.796121
41.1111 -0.748706
41.6667 -0.701361
42.2222 -0.655464
42.7778 -0.610272
43.3333 -0.565847
43.8889 -0.518874
44.4444 -0.477292
45 -0.440345
45.5556 -0.399015
46.1111 -0.360999
46.6667 -0.327162
47.2222 -0.300139
47.7778 -0.271596
48.3333 -0.242669
48.8889 -0.220962
49.4444 -0.205309
50 -0.187556
50.5556 -0.168727
51.1111 -0.155037
51.6667 -0.148328
52.2222 -0.137253
52.7778 -0.124368
53.3333 -0.116686
53.8889 -0.113635
54.4444 -0.10786
55 -0.100023
55.5556 -0.0946733
56.1111 -0.090578
56.6667 -0.0828751
57.2222 -0.077449
57.7778 -0.0730247
58.3333 -0.0715107
58.8889 -0.0664997
59.4444 -0.058184
60 -0.0554961
60.5556 -0.0573981
61.1111 -0.0536002
61.6667 -0.0481583
62.2222 -0.0452583
62.7778 -0.0478767
63.3333 -0.0483194
63.8889 -0.0449481
64.4444 -0.0445832
65 -0.0474646
65.5556 -0.0465965
66.1111 -0.0414142
66.6667 -0.0418256
67.2222 -0.0447092
67.7778 -0.0402098
