0 0.00370334
0.555556 -0.00396419
1.11111 0.000730158
1.66667 -0.00224281
2.22222 0.00505833
2.77778 -0.00427534
3.33333 0.000965002
3.88889 -0.00145835
4.44444 0.00556684
5 -0.00363626
5.55556 0.00163495
6.11111 -0.0018615
6.66667 0.00584992
7.22222 -0.00459724
7.77778 0.00113832
8.33333 -0.0016118
8.88889 0.00467858
9.44444 -0.00225962
10 0.00148885
10.5556 -0.001209
11.1111 0.00484413
11.6667 -0.00341893
12.2222 0.00242262
12.7778 -0.00185538
13.3333 0.0040916
13.8889 -0.00230724
14.4444 0.000205379
15 -0.00242506
15.5556 0.00401116
16.1111 -0.00471922
16.6667 0.00088809
17.2222 -0.0012142
17.7778 0.00552678
18.3333 -0.00283623
18.8889 0.000774676
19.4444 -0.00128499
20 0.00390722
20.5556 -0.00455746
21.1111 0.00167946
21.6667 -0.00193662
22.2222 0.00429452
22.7778 -0.00435297
23.3333 0.000465843
23.8889 -0.00237505
24.4444 0.00511076
25 -0.00562665
25.5556 0.00258069
26.1111 -0.000308914
26.6667 0.00333462
27.2222 -0.00340512
27.7778 0.00241861
28.3333 -0.00080261
28.8889 0.00367264
29.4444 -0.00685386
30 -0.00973998
30.5556 -0.0403295
31.1111 -0.0808173
31.6667 -0.173833
32.2222 -0.256452
32.7778 -0.368997
33.3333 -0.478797
33.8889 -0.59486
34.4444 -0.697166
35 -0.786354
35.5556 -0.854852
36.1111 -0.91044
36.6667 -0.939376
37.2222 -0.954501
37.7778 -0.948945
38.3333 -0.937037
38.8889 -0.906971
39.4444 -0.872301
40 -0.830755
40.5556 -0.786893
41.1111 -0.739319
41.6667 -0.691709
42.2222 -0.643882
42.7778 -0.600018
43.3333 -0.553486
43.8889 -0.511208
44.4444 -0.466358
45 -0.433773
45.5556 -0.393377
46.1111 -0.361671
46.6667 -0.322751
47.2222 -0.302832
47.7778 -0.27024
48.3333 -0.251122
48.8889 -0.224693
49.4444 -0.214982
50 -0.192772
50.5556 -0.182904
51.1111 -0.162467
51.6667 -0.158073
52.2222 -0.142884
52.7778 -0.133601
53.3333 -0.119861
53.8889 -0.117797
54.4444 -0.107356
55 -0.105328
55.5556 -0.0945341
56.1111 -0.094462
56.6667 -0.0856678
57.2222 -0.0817583
57.7778 -0.0727617
58.3333 -0.0754731
58.8889 -0.0670058
59.4444 -0.0649012
60 -0.0558547
60.5556 -0.0614567
61.1111 -0.0542982
61.6667 -0.0523944
62.2222 -0.0459689
62.7778 -0.0516219
63.3333 -0.0460348
63.8889 -0.047262
64.4444 -0.0416472
65 -0.0491744
65.5556 -0.0424456
66.1111 -0.0430363
66.6667 -0.0385443
67.2222 -0.0450923
67.7778 -0.0387117
68.3333 -0.0410477
68.8889 -0.0348256
69.4444 -0.0415871
70 -0.035353
70.5556 -0.0347293
71.1111 -0.0286205
71.6667 -0.0349549
72.2222 -0.0297207
72.7778 -0.0311396
73.3333 -0.0255237
73.8889 -0.0301514
74.4444 -0.0268592
75 -0.0280955
75.5556 -0.0239072
76.1111 -0.033626
76.6667 -0.0263181
77.2222 -0.0287813
77.7778 -0.0236192
78.3333 -0.0301901
78.8889 -0.0255848
79.4444 -0.0260717
80 -0.0197436
80.5556 -0.0279669
81.1111 -0.0214572
81.6667 -0.0233025
82.2222 -0.0175322
82.7778 -0.0240539
83.3333 -0.0193833
83.8889 -0.0217009
84.4444 -0.0150438
85 -0.0214336
85.5556 -0.0189232
86.1111 -0.0218684
86.6667 -0.0155684
87.2222 -0.0245171
87.7778 -0.0224362
88.3333 -0.0223337
88.8889 -0.0154773
89.4444 -0.0242868
90 -0.0179767
90.5556 -0.0232106
91.1111 -0.0165773
91.6667 -0.0212917
92.2222 -0.0164424
92.7778 -0.0198993
93.3333 -0.0128581
93.8889 -0.0186577
94.4444 -0.013945
95 -0.0155596
95.5556 -0.0122192
96.1111 -0.0196141
96.6667 -0.0138468
97.2222 -0.0155327
97.7778 -0.0110717
98.3333 -0.0195875
98.8889 -0.0142939
99.4444 -0.0169045
100 -0.0126692
100.556 -0.0197892
101.111 -0.0157842
101.667 -0.0172011
102.222 -0.00994811
102.778 -0.0180749
103.333 -0.0117369
103.889 -0.0143016
104.444 -0.00851372
105 -0.0142065
105.556 -0.00805692
106.111 -0.00960769
106.667 -0.00619425
107.222 -0.0125354
107.778 -0.007192
108.333 -0.00958379
108.889 -0.00374698
109.444 -0.0115748
110 -0.00693701
110.556 -0.00967164
111.111 -0.00353068
111.667 -0.0118853
112.222 -0.00743476
112.778 -0.00684923
113.333 -0.00206787
113.889 -0.0107435
114.444 -0.00437463
115 -0.00714352
115.556 -0.0015681
116.111 -0.00919479
116.667 -0.00405495
117.222 -0.00680569
117.778 -0.00298467
118.333 -0.00907888
118.889 -0.00552557
119.444 -0.00594302
120 -0.00203434
120.556 -0.00910517
121.111 -0.00625251
121.667 -0.00851711
122.222 -0.00325364
122.778 -0.0111752
123.333 -0.00578624
123.889 -0.00780011
124.444 -0.00285991
125 -0.0115554
125.556 -0.00559568
126.111 -0.00536211
126.667 -0.00204454
127.222 -0.00731185
127.778 -0.00424216
128.333 -0.00465824
128.889 0.000893296
129.444 -0.00728487
130 -0.00347504
130.556 -0.00546697
131.111 -0.00253225
131.667 -0.00761935
132.222 -0.0040576
132.778 -0.00604695
133.333 -0.00162395
133.889 -0.00985474
134.444 -0.0045006
135 -0.00801007
135.556 -0.00134088
136.111 -0.00910475
136.667 -0.00430008
137.222 -0.00707093
137.778 -0.00133091
138.333 -0.0087284
138.889 -0.00484636
